days,C1-Cu,C3-Cu,C4-Cu,C6-Cu,C8-Cu,C9-Cu,C10-Cu,C11-Cu,C12-Cu,C13-Cu,C1-Ni,C3-Ni,C4-Ni,C6-Ni,C8-Ni,C9-Ni,C10-Ni,C11-Ni,C12-Ni,C13-Ni
139,0.157428695,0.244900083,0.178581473,0.103648603,0.192350248,,,,,,0.284653824,0.437161225,0.414962717,0.248051078,0.457100752,,,,,
140,0.158055085,0.245181783,0.179646973,0.103975461,0.192539643,,,,,,0.286146464,0.437894422,0.416427231,0.250681237,0.458494473,,,,,
141,0.158793566,0.245507062,0.180788722,0.104349407,0.192763628,,,,,,0.287812607,0.438744781,0.417952607,0.254057119,0.459970124,,,,,
142,0.159493448,0.24578426,0.181811428,0.104653645,0.192978755,,,,,,0.289344861,0.439497098,0.419221056,0.256557193,0.461331244,,,,,
143,0.16023984,0.24621537,0.182977198,0.104929871,0.193219708,,,,,,0.291045149,0.440618785,0.420669198,0.258561097,0.462650089,,,,,
144,0.160972513,0.246561199,0.184028527,0.105176742,0.193414741,,,,,,0.292562747,0.441582386,0.422038597,0.26019714,0.463529448,,,,,
145,0.161692419,0.246561199,0.185103315,0.105419013,0.193589972,,,,,,0.294024664,0.441582386,0.423371384,0.26164417,0.46435176,,,,,
146,0.162546553,0.246973834,0.186196911,0.105614924,0.193718307,,,,,,0.295709683,0.442664696,0.424715539,0.262781491,0.464917307,,,,,
147,0.163312852,0.24737858,0.187167534,0.105822216,0.193792584,,,,,,0.297264228,0.443648521,0.425952828,0.263969689,0.465235901,,,,,
148,0.164154503,0.247830582,0.18819032,0.106019523,0.193882309,,,,,,0.298666397,0.444636288,0.427259531,0.265175565,0.465610721,,,,,
149,0.164882746,0.248188326,0.189285011,0.106242729,0.194146267,,,,,,0.300064977,0.445429139,0.428531304,0.266370225,0.466713206,,,,,
150,0.165548367,0.248511069,0.190283837,0.106405009,0.194413286,,,,,,0.301426383,0.446136775,0.429688111,0.267455502,0.467817267,,,,,
151,0.166240471,0.248881972,0.19117057,0.106579563,0.194717221,,,,,,0.302874053,0.446962207,0.430796654,0.268636158,0.468981253,,,,,
152,0.166934544,0.249266057,0.191999557,0.106766874,0.194985607,,,,,,0.304298301,0.447833265,0.431847798,0.26991055,0.469882739,,,,,
153,0.167507408,0.249602532,0.192895845,0.106967186,0.194985607,,,,,,0.305449896,0.448602871,0.432979988,0.271275045,0.469882739,,,,,
154,0.168006888,0.249930508,0.193760345,0.107278011,0.195337095,,,,,,0.30647459,0.449378008,0.434066482,0.272698212,0.470827858,,,,,
155,0.168600855,0.250151092,0.194599429,0.10867533,0.195666382,,,,,,0.307619433,0.449896967,0.435167882,0.274233652,0.47194749,,,,,
156,0.169277,0.25044568,0.195512188,0.108893846,0.195974403,,,,,,0.309025022,0.450575257,0.436359944,0.275663207,0.472811913,,,,,
157,0.169810817,0.250764535,0.196562467,0.109558735,0.196314909,,,,,,0.310322637,0.451335528,0.437712476,0.277307539,0.473680694,,,,,
158,0.170366778,0.251135956,0.197397546,0.109772758,0.196702341,,,,,,0.311638338,0.452242561,0.438906482,0.27897164,0.474689485,,,,,
159,0.170959613,0.251601755,0.197999091,0.11001072,0.196921618,,,,,,0.312974268,0.453347929,0.439862182,0.280801046,0.475247345,,,,,
160,0.172001818,0.252202033,0.198646735,0.110218463,0.197048105,,,,,,0.314824926,0.454732083,0.440887342,0.282265521,0.475578141,,,,,
