days,C1-Cu,C3-Cu,C4-Cu,C6-Cu,C8-Cu,C9-Cu,C10-Cu,C11-Cu,C12-Cu,C13-Cu,C1-Ni,C3-Ni,C4-Ni,C6-Ni,C8-Ni,C9-Ni,C10-Ni,C11-Ni,C12-Ni,C13-Ni
30,0.032776029,0.099192501,0.062788333,0.053946785,0.105755244,0.192799829,0.256334909,0.132912787,0.054274782,0.14313286,0.026487105,0.130958189,0.139037188,0.056421143,0.202269143,0.265666948,0.305976597,0.228228579,0.136136209,0.322487818
31,0.034473556,0.102255774,0.06399263,0.054976468,0.107792729,0.19285801,0.26106855,0.137858313,0.059368084,0.151196579,0.028201185,0.136518192,0.143192911,0.058735488,0.20768271,0.265747953,0.312308816,0.234430357,0.142081579,0.33177414
32,0.036195428,0.105820264,0.065289181,0.055875493,0.109952777,0.198011345,0.265595684,0.145161364,0.064743405,0.158231618,0.029914371,0.142807662,0.14771782,0.060757906,0.213511395,0.272593763,0.318466085,0.242140068,0.14839996,0.339584943
33,0.03794531,0.109045293,0.066450506,0.056779698,0.111963469,0.203254149,0.266881874,0.151328228,0.070081542,0.167678065,0.03162431,0.148673339,0.151870461,0.0628549,0.21899131,0.280789025,0.319979581,0.249365912,0.154953455,0.349242753
34,0.039822538,0.112481328,0.067653007,0.057733744,0.113933366,0.208081985,0.270694007,0.15753136,0.075096346,0.17500819,0.033463346,0.154974657,0.156262656,0.065120613,0.224470896,0.287155399,0.325078559,0.255117057,0.160015599,0.356212822
35,0.041665242,0.115783336,0.068840887,0.058635124,0.11593419,0.212300597,0.273956671,0.162282902,0.079700988,0.18219173,0.035407935,0.161334882,0.160672324,0.067336856,0.230357368,0.292945423,0.329781319,0.260408582,0.164416349,0.36315913
36,0.043534703,0.118745021,0.069839875,0.059506363,0.117619053,0.216184518,0.277854197,0.16666818,0.087558486,0.189512531,0.037351711,0.167090532,0.164425485,0.069236334,0.23561816,0.29850191,0.335463065,0.266311267,0.170022068,0.369651067
37,0.045227935,0.121571816,0.070863839,0.060288359,0.11934992,0.219379949,0.28093951,0.170843296,0.093130951,0.196001003,0.039201746,0.172622215,0.168302959,0.071269827,0.240741008,0.302637574,0.339949857,0.270680324,0.174929343,0.374657206
38,0.047346829,0.124532089,0.071992996,0.061237539,0.121106041,0.223184944,0.283678264,0.174046701,0.098996039,0.203080579,0.041398035,0.178346861,0.172619541,0.073768721,0.246375095,0.307507159,0.344087462,0.274983313,0.180047721,0.380351769
39,0.048939038,0.127544815,0.073008567,0.062127003,0.122905605,0.226947133,0.286654405,0.175977576,0.104385753,0.211739137,0.043665394,0.184598299,0.176546419,0.076175119,0.251930629,0.312594979,0.348931742,0.279543136,0.185794823,0.386496786
40,0.050385568,0.13026982,0.073970145,0.062226316,0.124645157,0.229752132,0.289040352,0.178729627,0.108125882,0.219124627,0.045360532,0.190341907,0.180311744,0.076443397,0.25741036,0.316173833,0.352970791,0.283927455,0.190457325,0.391739232
41,0.051817483,0.132973216,0.074941971,0.063046691,0.126299565,0.23452239,0.292104881,0.181740786,0.110257708,0.225111467,0.047010679,0.196111824,0.184117429,0.078679204,0.262444837,0.319892458,0.357082704,0.288374027,0.195034566,0.396144248
42,0.053476219,0.135618859,0.075910571,0.06391598,0.127775976,0.237615694,0.294814532,0.183769089,0.112902312,0.22933064,0.048946072,0.201679762,0.187921216,0.081019764,0.266863403,0.323333452,0.361059443,0.292124767,0.199396392,0.399731304
43,0.055374952,0.13920131,0.077126949,0.065002922,0.129747007,0.240979912,0.297339247,0.188116003,0.11949296,0.237913278,0.051587575,0.209432968,0.192738134,0.083881516,0.272841509,0.327275436,0.365205881,0.296534241,0.205612425,0.405211874
44,0.056767285,0.141807793,0.07805888,0.065845648,0.131179742,0.244356886,0.300239891,0.193483416,0.127181966,0.246957739,0.053372543,0.21501507,0.196393728,0.086094894,0.277314637,0.331428991,0.370004697,0.301017871,0.212259368,0.410216446
45,0.058115421,0.144139103,0.078901623,0.066604308,0.132437703,0.246854102,0.303146001,0.19868628,0.134934391,0.253527448,0.055080309,0.219920339,0.199708879,0.088091948,0.28123624,0.335193608,0.374907829,0.305709398,0.219002427,0.414860537
46,0.059342856,0.146525522,0.079662916,0.067307158,0.133505411,0.249050089,0.306131263,0.203499626,0.141370291,0.259152153,0.056695398,0.225039762,0.202709261,0.089942259,0.284577926,0.338456959,0.380033565,0.310096769,0.225016513,0.418452793
47,0.060566513,0.148544069,0.080430985,0.068013439,0.134596558,0.252033088,0.30945487,0.209561285,0.145514681,0.2653969,0.058335966,0.229282169,0.205767582,0.091787126,0.287957391,0.342423998,0.385693924,0.314674142,0.230533628,0.422557524
48,0.061891014,0.150155504,0.08096202,0.068726652,0.135348631,0.255201992,0.312485725,0.217310623,0.150250376,0.270325154,0.060166721,0.232651427,0.207927201,0.093665271,0.290286723,0.345873661,0.390114387,0.318723473,0.236283449,0.425715436
49,0.063158517,0.152934805,0.081870942,0.069427557,0.136796782,0.257730455,0.315282317,0.222448605,0.154976264,0.275633602,0.061833565,0.238207852,0.211624949,0.095520895,0.294701957,0.349238857,0.394393103,0.322538779,0.2414955,0.42893812
50,0.064313983,0.155437762,0.082808683,0.070094922,0.138270899,0.25970598,0.317970546,0.225561071,0.158242369,0.280956068,0.063335815,0.243724556,0.215256074,0.097317355,0.298988298,0.351873551,0.398505084,0.325694293,0.24628351,0.432010628
51,0.066131094,0.157175668,0.08336899,0.070760259,0.138961495,0.26153968,0.320404279,0.229693835,0.159448852,0.286425797,0.065760034,0.247511371,0.217244867,0.099136799,0.300723145,0.354302251,0.402062779,0.329093711,0.249838506,0.434913553
52,0.067471771,0.159213642,0.084137734,0.071393519,0.140246803,0.263295288,0.322562408,0.232370774,0.1615366,0.291110593,0.067519374,0.251492382,0.219706823,0.100883679,0.303632177,0.35676216,0.405328831,0.33201942,0.253683278,0.437583463
53,0.06877893,0.161304426,0.08479512,0.072005603,0.141523239,0.2651533,0.324799888,0.233345546,0.16432868,0.29689919,0.069360469,0.25531957,0.222028183,0.102599898,0.306517808,0.359385261,0.408789808,0.334762975,0.257279215,0.440362912
54,0.069735405,0.163846782,0.085654226,0.072679198,0.143166847,0.267855096,0.327274337,0.240461119,0.169169621,0.30960349,0.070715508,0.260040097,0.225505025,0.104506041,0.310347771,0.362615852,0.412429118,0.338247921,0.261744329,0.444257295
55,0.070460834,0.165395935,0.086108252,0.073157461,0.143970305,0.270001396,0.330668146,0.249598306,0.173718136,0.320078132,0.07186994,0.26307528,0.227489276,0.105876099,0.312315553,0.36491198,0.416843597,0.341512003,0.265074426,0.446710373
56,0.071447126,0.167381756,0.086720508,0.073776453,0.144990305,0.271694897,0.332786592,0.254651925,0.177287433,0.329684538,0.073168577,0.267094782,0.23029181,0.107641238,0.314929675,0.366915663,0.419741343,0.343912922,0.26833247,0.449498438
57,0.072267288,0.16905239,0.087274222,0.074316647,0.14583779,0.273276802,0.334525505,0.256577475,0.179244617,0.335977031,0.074381139,0.270623373,0.232925985,0.109203266,0.317206107,0.3689176,0.422177354,0.345968721,0.272165152,0.452010306
